Word,Meaning
wary,cautious and alert to potential danger or problems
taciturn,reserved or uncommunicative in speech
spendthrift,someone who spends money wastefully
quixotic,unrealistically idealistic or impractical
puerile,childishly silly or immature
proclivity,a natural inclination or tendency toward something
placate,to calm or soothe someone's anger
obsequious,excessively eager to please or obey
negligent,careless; failing to take proper care
misnomer,a wrong or inaccurate name or term
misanthropic,disliking or distrusting humankind
loquacious,talkative; fond of talking
insipid,lacking flavor, interest, or vigor
humdrum,dull; lacking excitement or variety
homogeneous,of the same kind; uniform in composition
flout,to openly disregard or mock rules or conventions
feasible,possible and practical to do easily
disseminate,to spread widely (especially information or ideas)
didactic,intended to teach, often in a moralizing way
deify,to treat or worship someone as a god
daunting,seeming difficult to deal with; intimidating
cursory,hasty and therefore not thorough or detailed
conspicuous,clearly visible; attracting notice or attention
congenial,pleasant because of shared qualities or interests
cerebral,intellectual rather than emotional or physical
capricious,impulsive and unpredictable
belie,to give a false impression; to contradict
austere,strict or severe in manner or appearance; simple and unadorned
amorphous,without a clear shape or form
abound,to exist in large numbers or amounts
