Word,Meaning
provocative,"intended to arouse strong emotion, interest, or reaction"
abhor,to regard with disgust and hatred; to loathe
deliberate,done consciously and intentionally; careful and unhurried
cumbersome,large or heavy and therefore difficult to carry or use; unwieldy
dwindling,"gradually diminishing in size, strength, or number"
encyclopedic,comprehensive in terms of information or learning; wide-ranging
sluggish,slow-moving or lacking energy
complacent,self-satisfied and unaware of possible dangers or deficiencies
fungible,interchangeable; replaceable by another identical item
spartan,showing or characterized by simplicity and lack of luxury or comfort
